code	title	term	classes	lecturehours	tutorialhours	labhours	weeklyhours	popestimate	popregistered
223	Concurrency	1	c2, j2	18	9	0	3	133	0
M4P6	Probability Theory with Advanced Study	2	j4						
M3P6	Probability Theory	2	j3						
M4P19	Measure & Integration with Advanced Study	1	j4						
M3P19	Measure & Integration	1	j3						
M4S11	Games, Risks & Decisions with Advanced Study	2	j4						
M3S11	Games, Risks & Decisions	2	j3						
M4P7	Functional Analysis with Advanced Study	1	j4						
M3P7	Functional Analysis	1	j3						
M4P18	Fourier Analysis & Theory of Distributions with Advanced Study	2	j4						
M3P18	Fourier Analysis & Theory of Distributions	2	j3						
M4S17	Credit Scoring II with Advanced Study	2	j4						
M3S17	Credit Scoring II	2	j3						
M4P23	Computational Algebra & Geometry with Advanced Study	1	j4						
M3P23	Computational Algebra & Geometry	1	j3						
M4P57	Complex Manifolds	2	j4						
M4A42	Applied Stochastic Processes	2	j4						
471	Advanced Issues in Object Oriented Programming	1	a5, c4, j4, o3, r5, s5, y5	18	9	0	3	46	0
421	Computational Neurodynamics	1	a5, c4, i4, j4, o3, r5, s5, x4, x5	18	9	0	0	56	0
493	Intelligent Data and Probabilistic Inference	2	a5, c4, i4, j4, o4, r5, s5, v5, x1, x4	18	9	0	3	79	0
317	Graphics	2	c3, i3, j3, o3, s5, v5, x4	18	9	0	3	140	0
480	Automated Reasoning	1	a5, c4, i4, j4, o3, r5, s5	18	9	0	3	29	0
501	Computer Architecture	1	v5	18	9	0	30	50	0
437	Distributed Algorithms	2	a5, c4, i4, j4, o4, r5, s5	18	9	0	3	108	0
ZZ322	Communicating Computer Science in Schools	1,2,3		0	0	0	0	0	0
M4P5	Geometry of Curves and Surfaces with Advanced Study	2	j4	0	0	0	0	0	0
M4S9	Stochastic Simulation I with Advanced study	2	j4	0	0	0	0	4	0
M3S9	Stochastic Simulation I	2	j3	0	0	0	0	1	0
M2AA3	Introduction to Numerical Analysis	2	j2	0	0	0	0	26	0
M4P14	Number Theory with Advanced Study	1	j4	0	0	0	0	0	0
M3P14	Number Theory	1	j3	0	0	0	0	9	0
M4S16	Credit Scoring I with Advanced Study	1	j4	0	0	0	0	3	0
M3S16	Credit Scoring I	1	j3	0	0	0	0	5	0
ZZ345	Ludic Computing	2		18	9	0	3	87	0
302	Software Engineering Practice	1	c3, j3, o3	9	9	0	3	141	0
337	Simulation and Modelling	1	c3, i3, j3, o4, s5, x1	18	9	0	3	49	0
534	Short Introduction to Prolog and Matlab	1	a5, r5, s5	6	0	8	0	0	0
M2PM1	Real Analysis	1	j2	9	18	0	3	0	0
M2PM3	Complex Analysis	2	j2	9	18	0	3	0	0
M2AA2	Multivariable Calculus	1	j2	9	18	0	3	0	0
M1M2	Mathematical Methods II	2	j2	9	18	0	3	0	0
475	Software Engineering for Industry	1	a5, c4, i4, j4, o4, r5, s5, y5	18	9	0	3	124	0
220	Software Engineering Design	1	c2, j2	18	9	0	3	155	0
477	Computing for Optimal Decisions	1	a5, c4, i4, j4, r5, s5, x1	18	9	0	3	30	0
531	Prolog	1,2	a5, r5, s5	9	9	60	3	27	0
551	C++ Programming Test	2	v5	0	0	6	0	61	0
552	AI Programming Test	2	v5	0	0	4	0	0	0
440	Software Reliability	1	c4, j4, o3	18	9	0	0	0	0
343	Operations Research	1	c3, i3, j3, j4, o3, o4, s5	18	9	0	3	77	0
312	Advanced Databases	1	a5, c3, o3, o4, r5, s5	18	9	0	3	136	0
332	Advanced Computer Architecture	2	a5, c3, i4, j3, j4, r5, s5, x4	18	9	0	3	33	0
382	Type Systems for Programming Languages	1	a5, c3, j3, j4, o3, r5, s5	18	9	0	0	14	0
303	Software Engineering - Systems Verification	2	c3, j3, o3, s5, y5	18	9	0	0	103	28
499	Modal and Temporal Logic	1	a5, c4, j4, o3, r5, s5	18	9	0	3	48	0
474	Multi-agent Systems	2	a5, c4, i4, j4, o4, r5, s5	18	9	0	3	66	0
436	Performance Analysis	2	a5, c4, i4, j4, r5, s5	18	9	0	3	30	0
335	Distributed Systems	1	c3, i3, j3, o3, o4, s5, y5	18	9	0	3	109	0
333	Robotics	2	c3, j3, o4, s5, v5	18	9	0	3	71	0
516	Introduction to C++ Programming	1	v5	12	8	0	1	63	0
502	Computer Systems	1	v5	18	9	0	3	60	0
417	Advanced Graphics and Visualisation	2	a5, c4, i4, j4, r5, s5	18	9	0	3	30	0
275	C++ Introduction	1	c2, j2	6	0	6	0	151	0
212	Networks and Communications	2	c2	18	9	0	3	161	0
438	Complexity	2	a5, c4, i4, j4, r5, s5	18	9	0	3	24	0
484	Quantum Computing	2	a5, c4, i4, j4, o4, r5, s5	18	9	0	3	24	0
424	Machine Learning and Neural Computation	1	a5, c4, j4, o4, r5, s5, x4, x5, x6	18	9	0	0	54	0
422	Computational Finance	2	a5, c4, i4, j4, o4, r5, s5, v5, x4	18	9	0	3	97	0
470	Program Analysis	2	a5, c4, j4, r5, r6, s5	18	9	0	3	48	0
341	Introduction to Bioinformatics	2	c3, i3, j3, s5, v5, x1, x3, x4	18	9	0	3	61	0
210	Computer Architecture	2	c2	18	9	0	3	82	0
526	Databases	2	i2, j2, j3, v5	18	9	0	3	103	0
401I	Individual Project MEng - ISE	1,2,3	i4	0	50	10	6	0	0
610	PhD 1st Year	1,2,3	r6					42	0
272	Team Skills Development	3	c2, j2	2	0	5	0	125	0
301J	Individual Project BSci - JMC	1,2,3	j3	0	50	10	6	16	0
330	Network Security	1	a5, c3, i4, j3, j4, o3, r5, s5, x4, y5	18	9	0	3	91	0
395	Machine Learning	1	a5, c3, i4, j3, o3, r5, s5, x4	18	9	0	3	135	0
520	MRes Research Seminar	2	r5, r6	18	0	0	2	15	0
