code	degreeyr	required
112	bc1	Required
112	mc1	Required
113	bc1	Required
113	mc1	Required
130	bc1	Required
130	mc1	Required
140	bc1	Required
140	mc1	Required
202	bc2	Required
202	mc2	Required
210	bc2	Required
210	mc2	Required
211	bc2	Required
211	mc2	Required
212	bc2	Required
212	mc2	Required
303	bc3	Required
303	mc3	Required
317	bc3	Required
317	mc3	Required
320	bc3	Required
320	mc3	Required
330	bc3	Required
330	mc3	Required
417	mc4	Required
418	mc4	Required
438	mc4	Required
440	mc4	Required
(32 rows)
