code	degreeyr	required
112	bc1	Required
112	mc1	Required
112	mcai1	Required
112	mcbm1	Required
112	mcgvi1	Required
112	mcip1	Required
112	mcse1	Required
113	bc1	Required
113	bjmc1	Required1
113	mc1	Required
113	mcai1	Required
113	mcbm1	Required
113	mcgvi1	Required
113	mcip1	Required
113	mcse1	Required
113	mjmc1	Required1
113	mjmccs1	Required1
113	mjmcml1	Required1
120.1	bc1	Required
120.1	bjmc1	Required1
120.1	mc1	Required
120.1	mcai1	Required
120.1	mcbm1	Required
120.1	mcgvi1	Required
120.1	mcip1	Required
120.1	mcse1	Required
120.1	mjmc1	Required1
120.1	mjmccs1	Required1
120.1	mjmcml1	Required1
120.2	bc1	Required
120.2	bjmc1	Required1
120.2	mc1	Required
120.2	mcai1	Required
120.2	mcbm1	Required
120.2	mcgvi1	Required
120.2	mcip1	Required
120.2	mcse1	Required
120.2	mjmc1	Required1
120.2	mjmccs1	Required1
120.2	mjmcml1	Required1
120.3	bc1	Required
120.3	bjmc1	Required1
120.3	mc1	Required
120.3	mcai1	Required
120.3	mcbm1	Required
120.3	mcgvi1	Required
120.3	mcip1	Required
120.3	mcse1	Required
120.3	mjmc1	Required1
120.3	mjmccs1	Required1
120.3	mjmcml1	Required1
130	bc1	Required
130	mc1	Required
130	mcai1	Required
130	mcbm1	Required
130	mcgvi1	Required
130	mcip1	Required
130	mcse1	Required
140	bc1	Required
140	bjmc1	Required1
140	mc1	Required
140	mcai1	Required
140	mcbm1	Required
140	mcgvi1	Required
140	mcip1	Required
140	mcse1	Required
140	mjmc1	Required1
140	mjmccs1	Required1
140	mjmcml1	Required1
141	bc1	Required
141	mc1	Required
141	mcai1	Required
141	mcbm1	Required
141	mcgvi1	Required
141	mcip1	Required
141	mcse1	Required
141J	bjmc1	Required1
141J	mjmc1	Required1
141J	mjmccs1	Required1
141J	mjmcml1	Required1
142	bc1	Required
142	mc1	Required
142	mcai1	Required
142	mcbm1	Required
142	mcgvi1	Required
142	mcip1	Required
142	mcse1	Required
145	bc1	Required
145	mc1	Required
145	mcai1	Required
145	mcbm1	Required
145	mcgvi1	Required
145	mcip1	Required
145	mcse1	Required
161	bc1	Required
161	mc1	Required
161	mcai1	Required
161	mcbm1	Required
161	mcgvi1	Required
161	mcip1	Required
161	mcse1	Required
163	bc1	Required
163	mc1	Required
163	mcai1	Required
163	mcbm1	Required
163	mcgvi1	Required
163	mcip1	Required
163	mcse1	Required
164	bc1	Required
164	bjmc1	Required1
164	mc1	Required
164	mcai1	Required
164	mcbm1	Required
164	mcgvi1	Required
164	mcip1	Required
164	mcse1	Required
164	mjmc1	Required1
164	mjmccs1	Required1
164	mjmcml1	Required1
173	bjmc1	Required1
173	mjmc1	Required1
173	mjmccs1	Required1
173	mjmcml1	Required1
176	bjmc1	Required1
176	mjmc1	Required1
176	mjmccs1	Required1
176	mjmcml1	Required1
202	bc2	Required
202	bjmc2	Selective1
202	mc2	Required
202	mcai2	Required
202	mcbm2	Required
202	mcgvi2	Required
202	mcip2	Required
202	mcse2	Required
202	mjmc2	Selective1
202	mjmccs2	Selective1
202	mjmcml2	Selective1
202	pcs5	Selective
203	bc2	Required
203	bjmc2	Required1
203	mc2	Required
203	mcai2	Required
203	mcbm2	Required
203	mcgvi2	Required
203	mcip2	Required
203	mcse2	Required
203	mjmc2	Required1
203	mjmccs2	Required1
203	mjmcml2	Required1
210	bc2	Selective
210	mc2	Selective
210	mcai2	Selective
210	mcbm2	Selective
210	mcgvi2	Required
210	mcip2	Selective
210	mcse2	Selective
211	bc2	Required
211	bjmc2	Required1
211	mc2	Required
211	mcai2	Required
211	mcbm2	Required
211	mcgvi2	Required
211	mcip2	Required
211	mcse2	Required
211	mjmc2	Required1
211	mjmccs2	Required1
211	mjmcml2	Required1
212	bc2	Required
212	mc2	Required
212	mcai2	Required
212	mcbm2	Required
212	mcgvi2	Required
212	mcip2	Required
212	mcse2	Required
220	bc2	Required
220	bjmc2	Required1
220	mc2	Required
220	mcai2	Required
220	mcbm2	Required
220	mcgvi2	Required
220	mcip2	Required
220	mcse2	Required
220	mjmc2	Required1
220	mjmccs2	Required1
220	mjmcml2	Required1
221	bc2	Required
221	bjmc2	Selective1
221	mc2	Required
221	mcai2	Required
221	mcbm2	Required
221	mcgvi2	Required
221	mcip2	Required
221	mcse2	Required
221	mjmc2	Selective1
221	mjmccs2	Selective1
221	mjmcml2	Selective1
223	bc2	Required
223	bjmc2	Selective1
223	mc2	Required
223	mcai2	Required
223	mcbm2	Required
223	mcgvi2	Required
223	mcip2	Required
223	mcse2	Required
223	mjmc2	Selective1
223	mjmccs2	Selective1
223	mjmcml2	Selective1
231	bc2	Selective
231	bjmc2	Selective1
231	mc2	Selective
231	mcai2	Required
231	mcbm2	Required
231	mcgvi2	Required
231	mcip2	Selective
231	mcse2	Selective
231	mjmc2	Selective1
231	mjmccs2	Selective1
231	mjmcml2	Selective1
231	pcs5	Selective
233	bc2	Selective
233	mc2	Selective
233	mcai2	Selective
233	mcbm2	Selective
233	mcip2	Selective
233	mcse2	Selective
240	bc2	Required
240	bjmc2	Selective1
240	mc2	Required
240	mcai2	Required
240	mcbm2	Required
240	mcgvi2	Required
240	mcip2	Required
240	mcse2	Required
240	mjmc2	Selective1
240	mjmccs2	Selective1
240	mjmcml2	Selective1
245	bc2	Required
245	mc2	Required
245	mcai2	Required
245	mcbm2	Required
245	mcgvi2	Required
245	mcip2	Required
245	mcse2	Required
252	bc2	Optional
252	mc2	Optional
252	mcai2	Optional
252	mcbm2	Optional
252	mcip2	Optional
252	mcse2	Optional
261	bc2	Required
261	mc2	Required
261	mcai2	Required
261	mcbm2	Required
261	mcgvi2	Required
261	mcip2	Required
261	mcse2	Required
261J	bjmc2	Required1
261J	mjmc2	Required1
261J	mjmccs2	Required1
261J	mjmcml2	Required1
271	bc2	Required
271	bjmc2	Required1
271	mc2	Required
271	mcai2	Required
271	mcbm2	Required
271	mcgvi2	Required
271	mcip2	Required
271	mcse2	Required
271	mjmc2	Required1
271	mjmccs2	Required1
271	mjmcml2	Required1
272	bc2	Required
272	bjmc2	Required1
272	mc2	Required
272	mcai2	Required
272	mcbm2	Required
272	mcgvi2	Required
272	mcip2	Required
272	mcse2	Required
272	mjmc2	Required1
272	mjmccs2	Required1
272	mjmcml2	Required1
275	bc2	Required
275	bjmc2	Required1
275	mc2	Required
275	mcai2	Required
275	mcbm2	Required
275	mcgvi2	Required
275	mcip2	Required
275	mcse2	Required
275	mjmc2	Required1
275	mjmccs2	Required1
275	mjmcml2	Required1
276	bc2	Required
276	bjmc2	Required1
276	mc2	Required
276	mcai2	Required
276	mcbm2	Required
276	mcgvi2	Required
276	mcip2	Required
276	mcse2	Required
276	mjmc2	Required1
276	mjmccs2	Required1
276	mjmcml2	Required1
301	bc3	Required
301	bocc3	Optional
301I	bise3	Optional
301J	bjmc3	Selective3
302	bc3	Required
302	bjmc3	Required
302	bocc3	Optional
302	mc3	Required
302	mcai3	Required
302	mcbm3	Required
302	mcgvi3	Required
302	mcip3	Required
302	mcse3	Required
302	mjmc3	Required1
303	bc3	Selective
303	bjmc3	Selective1
303	bocc3	Optional
303	mc3	Selective
303	mcai3	Selective
303	mcbm3	Selective
303	mcgvi3	Selective
303	mcip3	Selective
303	mcse3	Selective
303	mjmc3	Selective1
303	pci5	Optional
303	pcsa5	Optional
303	pcsai5	Optional
303	pcsci5	Optional
303	pcscm5	Optional
303	pcsds5	Optional
303	pcsml5	Optional
303	pcspm5	Selective
303	pcsse5	Selective
303	pcsvip5	Optional
312	bc3	Selective
312	bocc3	Optional
312	mc3	Selective
312	mcai3	Selective
312	mcbm3	Required
312	mcgvi3	Selective
312	mcip3	Selective
312	mcse3	Required
312	mocc4	Optional
312	pac5	Optional
312	pcsa5	Optional
312	pcsai5	Optional
312	pcsci5	Optional
312	pcscm5	Selective
312	pcsds5	Selective
312	pcsml5	Optional
312	pcspm5	Optional
312	pcsse5	Selective
312	pcsvip5	Selective
312	pres5	Optional1
317	bc3	Selective
317	bise3	Optional
317	bjmc3	Selective1
317	bocc3	Optional
317	mc3	Selective
317	mcai3	Selective
317	mcbm3	Selective
317	mcgvi3	Required
317	mcip3	Selective
317	mcse3	Selective
317	mise3	Optional
317	mjmc3	Selective1
317	mxx4	Optional
317	pcs5	Selective
317	pcsa5	Optional
317	pcsai5	Optional
317	pcsci5	Selective
317	pcscm5	Optional
317	pcsds5	Optional
317	pcsml5	Optional
317	pcspm5	Optional
317	pcsse5	Optional
317	pcsvip5	Optional
318	bc3	Selective
318	bise3	Optional
318	bjmc3	Selective1
318	mc3	Selective
318	mcai3	Selective
318	mcbm3	Selective
318	mcgvi3	Selective
318	mcip3	Selective
318	mcse3	Selective
318	mise3	Optional
318	mjmc3	Selective1
318	mocc4	Optional
318	pac5	Optional
318	pcsa5	Selective
318	pcsai5	Optional
318	pcsci5	Optional
318	pcscm5	Optional
318	pcsds5	Optional
318	pcsml5	Optional
318	pcspm5	Optional
318	pcsse5	Optional
318	pcsvip5	Optional
318	pres5	Optional1
320	bc3	Selective
320	bjmc3	Selective1
320	bocc3	Optional
320	mc3	Selective
320	mcai3	Selective
320	mcbm3	Selective
320	mcgvi3	Selective
320	mcip3	Selective
320	mcse3	Selective
320	mjmc3	Selective1
320	mjmc4	Selective1
320	mocc4	Optional
320	pac5	Optional
320	pcsa5	Optional
320	pcsai5	Optional
320	pcsci5	Optional
320	pcscm5	Selective
320	pcsds5	Optional
320	pcsml5	Selective
320	pcspm5	Selective
320	pcsse5	Optional
320	pcsvip5	Optional
320	pres5	Optional1
330	bc3	Selective
330	bjmc3	Selective1
330	bocc3	Optional
330	mc3	Selective
330	mcai3	Selective
330	mcbm3	Selective
330	mcgvi3	Selective
330	mcip3	Selective
330	mcse3	Selective
330	mise4	Optional
330	mjmc3	Selective1
330	mjmc4	Selective1
330	mxx4	Optional
330	pac5	Optional
330	pci5	Optional
330	pcsa5	Optional
330	pcsai5	Optional
330	pcsci5	Optional
330	pcscm5	Selective
330	pcsds5	Selective
330	pcsml5	Optional
330	pcspm5	Optional
330	pcsse5	Selective
330	pcsvip5	Optional
330	pres5	Optional1
332	bc3	Selective
332	bjmc3	Selective1
332	mc3	Selective
332	mcai3	Selective
332	mcbm3	Selective
332	mcgvi3	Selective
332	mcip3	Selective
332	mcse3	Selective
332	mise4	Optional
332	mjmc3	Selective1
332	mjmc4	Selective1
332	mxx4	Optional
332	pac5	Optional
332	pcsa5	Required
332	pcsai5	Optional
332	pcsci5	Optional
332	pcscm5	Optional
332	pcsds5	Selective
332	pcsml5	Optional
332	pcspm5	Optional
332	pcsse5	Optional
332	pcsvip5	Optional
332	pres5	Optional1
333	bc3	Selective
333	bjmc3	Selective1
333	mc3	Selective
333	mcai3	Selective
333	mcbm3	Selective
333	mcgvi3	Selective
333	mcip3	Selective
333	mcse3	Selective
333	mjmc3	Selective1
333	mocc4	Optional
333	pcs5	Selective
333	pcsa5	Optional
333	pcsai5	Selective
333	pcsci5	Optional
333	pcscm5	Optional
333	pcsds5	Optional
333	pcsml5	Selective
333	pcspm5	Optional
333	pcsse5	Optional
333	pcsvip5	Selective
335	bc3	Selective
335	bise3	Optional
335	bjmc3	Selective1
335	bocc3	Optional
335	mc3	Selective
335	mcai3	Selective
