code	login	role	staffhours	term
112	dfg	Lecturer	18	1
113	wl	Lecturer	9	2
113	axgopala	Lecturer	9	2
120.1	ajf	Lecturer	22	1
120.2	afd	Lecturer	9	2
120.2	tora	Lecturer	10	1
120.2	ar3	Lecturer	9	2
120.3	tora	Lecturer	12	3
130	nd	Lecturer	18	2
140	imh	Lecturer	18	1
141	mjw03	Lecturer	0	2
141	scd	Lecturer	18	2
141J	mrh	Lecturer	18	2
142	yg	Lecturer	9	1
142	iccp	Lecturer	9	2
145	jb	Lecturer	23	1
161	tora	Lab Organiser	100	1,2,3
163	dfg	Lecturer	1	2
163	dfg	Organiser	0	2
163	tora	Organiser	0	2
163	iccp	Lecturer	1	2
163	herbert	Lecturer	1	2
163	clh	Lecturer	1	2
163	eedwards	Lecturer	1	2
163	mrh	Lecturer	1	2
163	jwc04	Lecturer	1	2
163	pjm	Lecturer	1	2
164	ealpay	Lecturer	4	1
173	mjw03	Organiser	2	3
176	tora	Lab Organiser	10	1,2,3
202	pp500	Lecturer	9	2
202	alw	Lecturer	9	2
203	mjw03	Organiser	0	3
210	wl	Lecturer	9	2
210	dt10	Lecturer	9	2
211	cristic	Lecturer	9	2
211	mjw03	Lab Organiser	0	2
211	prp	Lecturer	9	2
212	prp	Lecturer	9	2
212	costa	Lecturer	9	2
220	rbc	Lecturer	18	1
221	phjk	Lecturer	9	1
221	nd	Lecturer	9	1
223	da04	Lecturer	9	1
223	jk	Lecturer	9	1
231	mjw03	Lab Organiser	0	2
231	ft	Lecturer	9	2
231	mpsha	Lecturer	9	2
233	ae	Lecturer	9	2
233	pgh	Lecturer	9	2
240	pg	Lecturer	18	1
245	naheard	Lecturer	18	1
245	mjw03	Organiser	0	1
252	ft	Organiser	0	1,2
261	mjw03	Lab Organiser	0	1,2,3
261J	mjw03	Lab Organiser	0	1,2,3
265	ealpay	Lecturer	4	1
271	mjw03	Organiser	0	3
272	mjw03	Organiser	0	3
275	mjw03	Lab Organiser	0	1
276	mjs	Lecturer	9	1,2
301	axgopala	Organiser	0	1,2,3
301I	axgopala	Organiser	0	1,2,3
301J	axgopala	Organiser	0	1,2,3
302	rbc	Lecturer	18	1
312	pjm	Lecturer	18	1
317	dfg	Lecturer	0	2
317	dr	Lecturer	18	2
318	tjt97	Lecturer	9	2
318	wl	Lecturer	9	2
320	ae	Lecturer	18	1
325	herbert	Organiser	18	1,2,3
330	mrh	Lecturer	9	1
330	ecl1	Lecturer	9	1
332	phjk	Lecturer	18	2
333	ajd	Lecturer	18	2
335	mss	Lecturer	13	1
335	yg	Lecturer	5	1
337	jb	Lecturer	9	1
337	ajf	Lecturer	9	1
338	jamm	Lecturer	9	2
338	axgopala	Lecturer	9	2
341	natasha	Lecturer	13	2
341	yg	Lecturer	5	2
343	dkuhn	Lecturer	9	1
350	jss	Lecturer	10	2
351	axgopala	Organiser	0	1,2
356	axgopala	Lecturer	2	1
356	scoultre	Organiser	0	1
362	axgopala	Organiser	0	1
382	svb	Lecturer	18	1
395	maja	Lecturer	16	1
395	shm	Lecturer	2	1
401	axgopala	Organiser	0	1,2,3
401I	ajf	Organiser	0	1,2,3
401J	ajf	Organiser	0	1,2,3
417	eedwards	Lecturer	9	2
417	dr	Lecturer	9	2
418	gzy	Lecturer	18	1
421	mpsha	Lecturer	18	1
422	dkuhn	Lecturer	18	2
424	afaisal	Lecturer	18	1
429	pgh	Lecturer	9	2
429	wjk	Lecturer	9	2
436	pgh	Lecturer	7	2
436	gcasale	Lecturer	9	2
437	alw	Lecturer	18	2
438	iccp	Lecturer	18	2
440	afd	Lecturer	18	1
451	axgopala	Organiser	0	1,2
452	axgopala	Organiser	0	1,2,3
464	scoultre	Organiser	0	1
464	amya	Organiser	0	1
470	clh	Lecturer	9	2
470	herbert	Lecturer	9	2
471	scd	Lecturer	18	1
474	ft	Lecturer	18	2
475	rbc	Lecturer	18	1
475	np2	Lecturer	18	1
477	pp500	Lecturer	18	1
480	kb	Lecturer	18	1
481	pg	Lecturer	9	1
481	yoshida	Lecturer	9	1
484	herbert	Lecturer	18	2
491	mjs	Lecturer	18	2
493	dfg	Lecturer	18	2
499	imh	Lecturer	18	1
501	kkleung	Lecturer	9	1
501	axgopala	Lecturer	9	1
502	svb	Lecturer	18	1
512	tk106	Organiser	0	2
513	fs	Organiser	0	1
513	kb	Organiser	0	1
514	kb	Organiser	0	2
514	fs	Organiser	0	2
516	wjk	Lecturer	12	1
517	wjk	Lecturer	9	1
518	fs	Lecturer	27	1
520	yg	Organiser	6	2
520	tk106	Organiser	18	2
522	yg	Lecturer	9	2
522	natasha	Lecturer	9	2
523	fs	Organiser	0	2,3
523	tk106	Organiser	0	2,3
525	ar3	Lecturer	18	2
526	pjm	Lecturer	18	2
527	ecl1	Lecturer	18	2
528	yoshida	Lecturer	18	2
